日K基準,執行UTC,組合$,純A$,純趨勢$,A命中率,趨勢命中率,A燈,趨勢燈,forward天數
2026-07-09,2026-07-09 14:43,9969,9937,10001,54.7,51.2,🟢綠燈,🟡黃燈,0
2026-07-10,2026-07-10 03:35,9909,9771,10047,54.4,51.0,🟢綠燈,🟡黃燈,1
2026-07-11,2026-07-12 03:59,9889,9840,9937,55.4,51.0,🟢綠燈,🟡黃燈,2
2026-07-12,2026-07-13 03:59,9923,9866,9978,55.0,51.1,🟢綠燈,🟡黃燈,3
2026-07-13,2026-07-14 03:33,9951,10059,9840,56.1,51.6,🟢綠燈,🟡黃燈,4
2026-07-14,2026-07-15 03:33,9903,9616,10178,55.0,51.7,🟢綠燈,🟡黃燈,5
2026-07-15,2026-07-16 03:36,9885,9576,10183,54.7,51.4,🟢綠燈,🟡黃燈,6
2026-07-16,2026-07-17 03:36,9873,9769,9954,55.0,49.6,🟢綠燈,🟡黃燈,7
2026-07-17,2026-07-18 03:30,9834,9744,9900,55.4,50.1,🟢綠燈,🟡黃燈,8
2026-07-18,2026-07-19 03:53,9826,9626,10003,55.6,52.8,🟢綠燈,🟢綠燈,9
2026-07-19,2026-07-20 04:03,9839,9604,10052,54.9,52.4,🟢綠燈,🟢綠燈,10
2026-07-20,2026-07-21 03:44,9853,9489,10203,54.0,52.8,🟢綠燈,🟢綠燈,11
2026-07-21,2026-07-22 03:45,9857,9380,10328,53.5,52.8,🟢綠燈,🟢綠燈,12
2026-07-22,2026-07-23 03:44,9864,9413,10306,53.3,52.9,🟢綠燈,🟢綠燈,13
2026-07-23,2026-07-24 03:43,9875,9658,10061,53.6,52.1,🟢綠燈,🟢綠燈,14
2026-07-24,2026-07-25 03:36,9870,9806,9897,54.3,50.3,🟢綠燈,🟡黃燈,15
2026-07-25,2026-07-26 03:54,9861,9727,9958,53.2,50.3,🟢綠燈,🟡黃燈,16
2026-07-26,2026-07-27 04:02,9868,9454,10252,53.2,52.9,🟢綠燈,🟢綠燈,17
2026-07-27,2026-07-28 03:34,9929,9855,9943,54.0,52.5,🟢綠燈,🟢綠燈,18
2026-07-28,2026-07-29 03:38,9898,9750,9987,54.0,53.9,🟢綠燈,🟢綠燈,19
2026-07-29,2026-07-30 03:27,9925,9822,9969,54.2,53.0,🟢綠燈,🟢綠燈,20
2026-07-30,2026-07-31 03:49,9892,9702,10024,53.5,53.0,🟢綠燈,🟢綠燈,21
2026-07-31,2026-08-01 03:48,9896,9899,9829,54.0,51.1,🟢綠燈,🟡黃燈,22
2026-08-01,2026-08-02 03:51,9889,9917,9797,54.2,50.6,🟢綠燈,🟡黃燈,23
2026-08-02,2026-08-03 03:54,9779,9624,9868,53.9,50.1,🟢綠燈,🟡黃燈,24
2026-08-03,2026-08-04 03:36,9786,9684,9821,54.7,48.2,🟢綠燈,🟡黃燈,25
2026-08-04,2026-08-05 03:31,9808,9681,9868,54.9,48.8,🟢綠燈,🟡黃燈,26
